district,Fine amount
alhambra,81.35714285714286
beverly hills,66.71847748935308
burbank,68.38099843549993
calabasas,72.55648249858979
carson,73.58811475409836
culver city,69.20695094646855
east los angeles,73.58768296050815
el segundo,69.01969723034577
gardena,66.4682422451994
glendale,68.00564252365615
huntington park,79.7055397359565
inglewood,73.2856327171508
lennox,67.73699421965318
lomita,70.28664921465969
long beach,78.52747252747253
los angeles,71.39294199280472
lynwood,77.49691738594328
maywood,68.0
monterey park,67.49656750572082
pasadena,63.07692307692308
rancho palos verdes,64.30434782608695
san fernando,73.33285549652865
santa clarita,78.21621621621621
santa monica,66.92799111265776
south gate,78.85148514851485
south pasadena,66.36360911270984
walnut park,74.52221545952526
west athens,71.1198795180723
west carson,71.10597548518896
west hollywood,69.13197367099701
westmont,77.91927584692809
willowbrook,72.70317002881845
