District,Crime Count,Latitude,Longitude
los angeles,47264,34.0522,-118.2437
san fernando,31715,34.2819,-118.439
west hollywood,28891,34.09,-118.3617
calabasas,19580,34.1367,-118.6615
westmont,16319,41.7959,-118.3047
culver city,11185,34.0211,-118.3965
beverly hills,9368,34.0736,-118.4004
burbank,9209,34.1808,-118.309
inglewood,8642,33.9617,-118.3531
santa monica,7551,34.0195,-118.4912
lomita,5790,33.7922,-118.3151
glendale,5740,34.1425,-118.2551
huntington park,5296,33.9817,-118.2251
willowbrook,4415,33.917,-118.2551
south pasadena,3211,34.1161,-118.1503
el segundo,2527,33.9192,-118.4165
east los angeles,2424,34.0224,-118.167
west carson,2226,33.8217,-118.2926
walnut park,2095,33.9689,-118.2224
west athens,881,33.924,-118.3004
gardena,798,33.8883,-118.309
carson,494,33.8317,-118.2817
santa clarita,420,34.3917,-118.5426
lennox,417,33.9381,-118.3526
lynwood,403,33.9303,-118.2115
long beach,176,33.7701,-118.1937
south gate,119,33.9547,-118.212
pasadena,72,34.1478,-118.1445
rancho palos verdes,41,33.7445,-118.387
monterey park,33,34.0625,-118.1228
alhambra,14,34.0953,-118.127
maywood,3,33.9867,-118.1853
